task_num,trial_num,rotation_angle,targetangle_deg,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px,ppt,stratuse,exp,angular_dev
16,7,-60,45,0,-10.691,21.599,21.599,1.5513e+12,7.0909,12.273,7.0909,12.273,11_abruptExp,0,abruptExp,27.8401848260173
16,8,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.9454,14.236,-2.9454,14.236,11_abruptExp,0,abruptExp,6.73888143831194
16,9,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-12.545,8.1272,-12.545,8.1272,11_abruptExp,0,abruptExp,-11.3109161576891
22,1,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,0.32727,21.818,0.32727,21.818,11_abruptExp,1,abruptExp,-0.576780471536196
22,2,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-14.127,8.6181,-14.127,8.6181,11_abruptExp,1,abruptExp,-8.80990382073904
22,3,-60,45,0,-10.691,21.599,21.599,1.5513e+12,9.9817,14.945,9.9817,14.945,11_abruptExp,1,abruptExp,23.7259213936946
22,4,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.92727,11.945,-0.92727,11.945,11_abruptExp,1,abruptExp,2.34577528196614
22,5,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-18.273,11.127,-18.273,11.127,11_abruptExp,1,abruptExp,-5.05317007937094
22,6,-60,45,0,-10.691,21.599,21.599,1.5513e+12,7.5272,15.436,7.5272,15.436,11_abruptExp,1,abruptExp,28.9282859815316
22,7,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-5.7272,3.6545,-5.7272,3.6545,11_abruptExp,1,abruptExp,-23.2364745655151
22,8,-60,45,0,-10.691,21.599,21.599,1.5513e+12,6.1636,12.6,6.1636,12.6,11_abruptExp,1,abruptExp,30.1773471121386
22,9,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.8909,16.582,-2.8909,16.582,11_abruptExp,1,abruptExp,6.05067908330282
18,1,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,0.38182,17.182,0.38182,17.182,11_abruptExp,1,abruptExp,-0.784820661482144
18,2,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-11.4,7.7454,-11.4,7.7454,11_abruptExp,1,abruptExp,-13.2697583285076
18,3,-60,45,0,-10.691,21.599,21.599,1.5513e+12,12.054,18,12.054,18,11_abruptExp,1,abruptExp,22.2111778418679
18,4,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-7.6908,6.9272,-7.6908,6.9272,11_abruptExp,1,abruptExp,-21.4174860214944
18,5,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.1273,17.127,-2.1273,17.127,11_abruptExp,1,abruptExp,4.37301559357134
18,6,-60,45,0,-10.691,21.599,21.599,1.5513e+12,11.782,16.364,11.782,16.364,11_abruptExp,1,abruptExp,21.4676801512465
18,7,-60,45,0,-10.691,21.599,21.599,1.5513e+12,6.1636,11.236,6.1636,11.236,11_abruptExp,1,abruptExp,29.2995198622401
18,8,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-15.491,11.236,-15.491,11.236,11_abruptExp,1,abruptExp,-9.75953594028006
18,9,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.0727,14.891,-2.0727,14.891,11_abruptExp,1,abruptExp,4.63208973375943
7,1,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,0.38182,12.654,0.38182,12.654,11_abruptExp,0,abruptExp,-0.937019668044655
